"Job","Artifact","Status","ExitCode","TimeSvg","FreqSvg"
"03_175155_monomer_fig4_T000_redfield_no_rwa_thermal","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\03_175155_monomer_fig4_T000_redfield_no_rwa_thermal\data\2d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\03_175155_monomer_fig4_T000_redfield_no_rwa_thermal\figures\time_all_signals_real_imag_abs_monomer_fig4_T000_redfield_no_rwa_thermal_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\03_175155_monomer_fig4_T000_redfield_no_rwa_thermal\figures\freq_all_signals_real_imag_abs_monomer_fig4_T000_redfield_no_rwa_thermal_01.svg"
"01_184055_monomer_fig4_T040_lindblad","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_184055_monomer_fig4_T040_lindblad\data\2d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_184055_monomer_fig4_T040_lindblad\figures\time_all_signals_real_imag_abs_monomer_fig4_T040_lindblad_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_184055_monomer_fig4_T040_lindblad\figures\freq_all_signals_real_imag_abs_monomer_fig4_T040_lindblad_01.svg"
"01_184037_monomer_fig4_T020_lindblad","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_184037_monomer_fig4_T020_lindblad\data\2d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_184037_monomer_fig4_T020_lindblad\figures\time_all_signals_real_imag_abs_monomer_fig4_T020_lindblad_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_184037_monomer_fig4_T020_lindblad\figures\freq_all_signals_real_imag_abs_monomer_fig4_T020_lindblad_01.svg"
"01_184031_monomer_fig4_T020_paper_eqs","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_184031_monomer_fig4_T020_paper_eqs\data\2d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_184031_monomer_fig4_T020_paper_eqs\figures\time_all_signals_real_imag_abs_monomer_fig4_T020_paper_eqs_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_184031_monomer_fig4_T020_paper_eqs\figures\freq_all_signals_real_imag_abs_monomer_fig4_T020_paper_eqs_01.svg"
"01_184018_monomer_fig4_T000_lindblad","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_184018_monomer_fig4_T000_lindblad\data\2d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_184018_monomer_fig4_T000_lindblad\figures\time_all_signals_real_imag_abs_monomer_fig4_T000_lindblad_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_184018_monomer_fig4_T000_lindblad\figures\freq_all_signals_real_imag_abs_monomer_fig4_T000_lindblad_01.svg"
"01_184012_monomer_fig4_T000_paper_eqs","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_184012_monomer_fig4_T000_paper_eqs\data\2d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_184012_monomer_fig4_T000_paper_eqs\figures\time_all_signals_real_imag_abs_monomer_fig4_T000_paper_eqs_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_184012_monomer_fig4_T000_paper_eqs\figures\freq_all_signals_real_imag_abs_monomer_fig4_T000_paper_eqs_01.svg"
"01_181835_monomer_fig4_T000_lindblad","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_181835_monomer_fig4_T000_lindblad\data\2d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_181835_monomer_fig4_T000_lindblad\figures\time_all_signals_real_imag_abs_monomer_fig4_T000_lindblad_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_181835_monomer_fig4_T000_lindblad\figures\freq_all_signals_real_imag_abs_monomer_fig4_T000_lindblad_01.svg"
"01_181830_monomer_fig4_T000_paper_eqs","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_181830_monomer_fig4_T000_paper_eqs\data\2d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_181830_monomer_fig4_T000_paper_eqs\figures\time_all_signals_real_imag_abs_monomer_fig4_T000_paper_eqs_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\01_181830_monomer_fig4_T000_paper_eqs\figures\freq_all_signals_real_imag_abs_monomer_fig4_T000_paper_eqs_01.svg"
