"Job","Artifact","Status","ExitCode","TimeSvg","FreqSvg"
"07_172315_monomer_fig4_T040_lindblad","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172315_monomer_fig4_T040_lindblad\data\2d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172315_monomer_fig4_T040_lindblad\figures\time_all_signals_real_imag_abs_monomer_fig4_T040_lindblad_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172315_monomer_fig4_T040_lindblad\figures\freq_all_signals_real_imag_abs_monomer_fig4_T040_lindblad_01.svg"
"07_172302_monomer_fig4_T020_lindblad","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172302_monomer_fig4_T020_lindblad\data\2d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172302_monomer_fig4_T020_lindblad\figures\time_all_signals_real_imag_abs_monomer_fig4_T020_lindblad_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172302_monomer_fig4_T020_lindblad\figures\freq_all_signals_real_imag_abs_monomer_fig4_T020_lindblad_01.svg"
"07_172248_monomer_fig4_T000_lindblad","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172248_monomer_fig4_T000_lindblad\data\2d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172248_monomer_fig4_T000_lindblad\figures\time_all_signals_real_imag_abs_monomer_fig4_T000_lindblad_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172248_monomer_fig4_T000_lindblad\figures\freq_all_signals_real_imag_abs_monomer_fig4_T000_lindblad_01.svg"
"07_172238_monomer_fig3_T040_lindblad","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172238_monomer_fig3_T040_lindblad\data\2d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172238_monomer_fig3_T040_lindblad\figures\time_all_signals_real_imag_abs_monomer_fig3_T040_lindblad_03.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172238_monomer_fig3_T040_lindblad\figures\freq_all_signals_real_imag_abs_monomer_fig3_T040_lindblad_03.svg"
"07_172229_monomer_fig3_T020_lindblad","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172229_monomer_fig3_T020_lindblad\data\2d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172229_monomer_fig3_T020_lindblad\figures\time_all_signals_real_imag_abs_monomer_fig3_T020_lindblad_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172229_monomer_fig3_T020_lindblad\figures\freq_all_signals_real_imag_abs_monomer_fig3_T020_lindblad_01.svg"
"07_172218_monomer_fig3_T000_lindblad","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172218_monomer_fig3_T000_lindblad\data\2d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172218_monomer_fig3_T000_lindblad\figures\time_all_signals_real_imag_abs_monomer_fig3_T000_lindblad_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172218_monomer_fig3_T000_lindblad\figures\freq_all_signals_real_imag_abs_monomer_fig3_T000_lindblad_01.svg"
"07_172209_monomer_fig2_inhomogeneous_lindblad_n100","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172209_monomer_fig2_inhomogeneous_lindblad_n100\data\1d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172209_monomer_fig2_inhomogeneous_lindblad_n100\figures\time_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_lindblad_n100_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172209_monomer_fig2_inhomogeneous_lindblad_n100\figures\freq_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_lindblad_n100_01.svg"
"07_172159_monomer_fig2_inhomogeneous_lindblad_n10","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172159_monomer_fig2_inhomogeneous_lindblad_n10\data\1d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172159_monomer_fig2_inhomogeneous_lindblad_n10\figures\time_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_lindblad_n10_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_172159_monomer_fig2_inhomogeneous_lindblad_n10\figures\freq_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_lindblad_n10_01.svg"
"07_165352_monomer_fig2_inhomogeneous_lindblad_n1000","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_165352_monomer_fig2_inhomogeneous_lindblad_n1000\data\1d_inhom_averaged.npz","ok","0","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_165352_monomer_fig2_inhomogeneous_lindblad_n1000\figures\time_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_lindblad_n1000_01.svg","C:\Users\leopo\.vscode\thesis_python\jobs\monomer\essential_results\07_165352_monomer_fig2_inhomogeneous_lindblad_n1000\figures\freq_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_lindblad_n1000_01.svg"
